,Ticker,Start_Date,Start_Price,End_Date,End_Price,Change,Percent_Change,Portfolio_Weight,Weighted_Impact
185,PFE,2023-01-01,45.23719636197816,2024-01-01,26.77371297697916,-18.463483384998998,-40.81482688992978,0.26875684982136,-0.10969264300941665
163,NEE,2023-01-01,79.07983639649649,2024-01-01,58.355871292579245,-20.723965103917244,-26.20638338199115,0.26515919568084,-0.06948863539272504
37,BMY,2023-01-01,65.23540763515022,2024-01-01,48.43905986655107,-16.796347768599155,-25.74728721331531,0.20919443569806,-0.05386189219345373
70,D,2023-01-01,54.64550126521254,2024-01-01,44.032269217873576,-10.613232047338961,-19.42196850904426,0.08109550901453,-0.015750344223051164
67,CTVA,2023-01-01,57.220986101355635,2024-01-01,47.15417283614611,-10.066813265209525,-17.59286924447293,0.07107557060296,-0.012504232200941792
206,SCHW,2023-01-01,80.71206834388347,2024-01-01,66.913404616594,-13.79866372728948,-17.09615923668145,0.24473320110605998,-0.04183997776611987
197,PYPL,2023-01-01,73.69000244140625,2024-01-01,61.220001220703125,-12.470001220703125,-16.92224291974817,0.15715605610715,-0.026594329577547655
204,RTX,2023-01-01,95.66487399466045,2024-01-01,81.70825602131528,-13.956617973345175,-14.589072655993007,0.27893156400089003,-0.04069352853258748
88,EXC,2023-01-01,39.705738606084644,2024-01-01,34.00301556683539,-5.702723039249257,-14.362465576639222,0.06692535746455,-0.009612131427888741
167,NOC,2023-01-01,524.9038730829366,2024-01-01,459.37034642824824,-65.53352665468833,-12.484862470110563,0.12307758308371,-0.015366066979537258
69,CVX,2023-01-01,162.43206808800755,2024-01-01,142.21771573282652,-20.214352355181035,-12.444803906719127,0.45821972220289997,-0.057024545890064025
46,CCI,2023-01-01,122.07420443162131,2024-01-01,107.93355625478968,-14.140648176831633,-11.58364966838869,0.07088676376819,-0.008211274376165414
68,CVS,2023-01-01,84.21295196247891,2024-01-01,74.78164375105418,-9.431308211424735,-11.199355908609942,0.10043276000465001,-0.011247822241760812
10,AEP,2023-01-01,86.80513768300763,2024-01-01,77.1084677492583,-9.696669933749334,-11.170617537822864,0.08886857903242999,-0.009927169075010598
164,NEM,2023-01-01,44.99671321760704,2024-01-01,40.01841593472685,-4.978297282880185,-11.06369093850214,0.07840569142979,-0.008674563377987624
220,TFC,2023-01-01,38.27251119545956,2024-01-01,34.39876259035019,-3.8737486051093697,-10.12149055317,0.10346446527107,-0.010472146078299207
24,APD,2023-01-01,294.6357325123419,2024-01-01,265.26792418477953,-29.367808327562386,-9.967497179362725,0.11802194312507999,-0.011763833852021429
96,FIS,2023-01-01,65.07360017136934,2024-01-01,58.71777551334923,-6.355824658020104,-9.767132356719522,0.0788994587752,-0.007706214567309138
122,JCI,2023-01-01,61.982831658545486,2024-01-01,56.20564079214339,-5.777190866402094,-9.320630748572134,0.09607083648975,-0.008954407926274097
0,A,2023-01-01,149.8242782731674,2024-01-01,137.2377396483088,-12.586538624858605,-8.40086718249373,0.06911413428185,-0.005806186625348585
247,XEL,2023-01-01,65.00330123121536,2024-01-01,59.5424680871539,-5.460833144061461,-8.400855096016421,0.06963322964299,-0.005849786720983943
123,JNJ,2023-01-01,164.4091071382135,2024-01-01,150.9062458014992,-13.50286133671429,-8.212964337409158,0.625788135158,-0.051395756368264364
166,NKE,2023-01-01,114.48396790562258,2024-01-01,105.26245083050969,-9.221517075112885,-8.054854530124993,0.20604530188037,-0.016596649332620703
128,KMB,2023-01-01,125.32259759787767,2024-01-01,115.89007772130647,-9.432519876571206,-7.52659141876177,0.07878959841485,-0.00593017115316896
233,UPS,2023-01-01,157.6365115551407,2024-01-01,147.60586436620534,-10.030647188935347,-6.363149685297789,0.19295908181313,-0.012278275207145686
50,CI,2023-01-01,314.7404975696693,2024-01-01,294.9694604770504,-19.771037092618883,-6.2816946803111895,0.13857975097230998,-0.00870515684481609
82,ELV,2023-01-01,495.5560486351708,2024-01-01,465.49475537882824,-30.061293256342537,-6.066174217656198,0.15270003499757,-0.009263050153374582
32,BDX,2023-01-01,254.43568621738692,2024-01-01,239.1619085802968,-15.27377763709012,-6.003001333720294,0.11879455445866,-0.007131238688540441
172,O,2023-01-01,56.713625650323884,2024-01-01,53.480766867735746,-3.2328587825881385,-5.700321123041578,0.0831239389321,-0.004738331449250678
149,MET,2023-01-01,67.49210680315136,2024-01-01,63.78043254934761,-3.71167425380375,-5.499419753822892,0.10135431068243,-0.0055738989830205815
72,DE,2023-01-01,416.03726059652075,2024-01-01,393.1976715486901,-22.839589047830657,-5.489794114854736,0.21131364706045,-0.011600684160209493
152,MMM,2023-01-01,92.14858287916014,2024-01-01,87.34598642826678,-4.802596450893361,-5.2117963194195704,0.12665954815077,-0.006601237668715289
248,XOM,2023-01-01,101.74387877116334,2024-01-01,96.72584002381875,-5.01803874734459,-4.932030121075768,0.8371482672703099,-0.041288404699835565
130,KO,2023-01-01,59.78997459202851,2024-01-01,57.05737926872169,-2.7325953233068176,-4.570323606846189,0.48477981288716004,-0.022156006229606662
162,NDAQ,2023-01-01,59.6844180706229,2024-01-01,57.1924075309004,-2.4920105397225,-4.1753117820027565,0.08034664131397,-0.003354722781225684
125,KDP,2023-01-01,33.64242141023804,2024-01-01,32.28427957389554,-1.3581418363425044,-4.036991926892621,0.07899656301242,-0.0031890848713340375
223,TMO,2023-01-01,550.3158948270684,2024-01-01,528.123034307256,-22.19286051981237,-4.032749322420766,0.36063330205653,-0.014543437045108347
