Ticker,Start_Date,Q1_Price,Percent_Change,Q2_Price,Q3_Price,Q4_Price,Portfolio_Weight,Weighted_Impact
NEE,2023-01-01,72.69,8.86,70.13,53.61,58.36,0.26515919568084,0.023493104737322423
CMCSA,2023-01-01,35.82,-0.9,38.92,42.32,41.94,0.26312290280347,-0.0023681061252312304
ANET,2023-01-01,41.41,26.82,40.33,46.13,58.5,0.25568019500418,0.06857342830012107
AMGN,2023-01-01,227.2,8.16,209.64,255.76,276.62,0.25471211505921,0.020784508588831536
PGR,2023-01-01,138.85,15.14,128.54,135.31,155.79,0.25291591143195,0.03829146899079723
LOW,2023-01-01,193.42,6.83,217.16,201.44,215.2,0.25165297417959,0.017187898136465995
SYK,2023-01-01,279.51,9.94,298.53,268.22,294.88,0.25006302033538,0.02485626422133677
UNP,2023-01-01,191.97,22.02,195.51,195.34,238.36,0.24685471166568,0.054357407508782735
TJX,2023-01-01,75.89,5.51,82.38,86.76,91.54,0.24674573561194998,0.013595690032218444
KKR,2023-01-01,51.41,33.56,55.29,60.94,81.39,0.24501679824236,0.08222763749013602
SCHW,2023-01-01,51.13,25.02,55.16,53.52,66.91,0.24473320110605998,0.06123224691673621
ETN,2023-01-01,166.25,12.37,195.75,210.0,235.97,0.24040830793130002,0.029738507691101812
AMAT,2023-01-01,119.58,15.48,141.96,137.17,158.4,0.23948302842723,0.0370719728005352
BA,2023-01-01,212.8,34.37,210.5,191.47,257.28,0.23872432281541,0.08204954975165642
BSX,2023-01-01,49.98,9.47,53.72,52.49,57.46,0.23586039262439998,0.022335979181530678
C,2023-01-01,43.57,26.79,43.06,38.74,49.12,0.23542700868338,0.0630708956262775
UBER,2023-01-01,31.5,33.27,43.17,45.57,60.73,0.23007186880755,0.07654491075227189
COP,2023-01-01,98.89,-2.06,98.87,115.44,113.06,0.22137070424282,-0.004560236507402092
PANW,2023-01-01,99.0,24.23,127.55,117.5,145.97,0.22050999386120002,0.05342957151256876
ADP,2023-01-01,210.28,-2.4,211.19,233.99,228.37,0.21553625543498,-0.00517287013043952
DE,2023-01-01,402.76,5.64,393.42,372.2,393.2,0.21131364706045,0.011918089694209379
FI,2023-01-01,112.57,18.06,125.69,112.09,132.33,0.21090396253712002,0.03808925563420387
BMY,2023-01-01,63.25,-10.41,59.07,54.07,48.44,0.20919443569806,-0.02177714075616805
LMT,2023-01-01,448.28,11.88,438.9,392.81,439.47,0.20854548727749,0.024775203888565814
GILD,2023-01-01,77.45,8.85,71.9,71.41,77.73,0.20756019283012,0.01836907706546562
NKE,2023-01-01,118.64,12.23,107.91,93.79,105.26,0.20604530188037,0.025199340419969254
CB,2023-01-01,189.51,9.78,187.85,203.49,223.39,0.19813127338562,0.019377238537113636
UPS,2023-01-01,175.96,2.34,164.23,144.23,147.61,0.19295908181313,0.004515242514427242
ADI,2023-01-01,189.64,13.14,188.13,170.53,192.94,0.18909858226522,0.02484755370964991
MMC,2023-01-01,161.1,0.3,182.01,185.3,185.85,0.18709147150666,0.0005612744145199799
MDT,2023-01-01,75.8,6.29,83.24,74.7,79.4,0.18693636412372,0.011758297303381989
VRTX,2023-01-01,315.0,16.8,348.77,346.76,405.0,0.18406599323276,0.03092308686310368
MU,2023-01-01,59.15,23.45,62.86,67.75,83.64,0.18064848709125,0.042362070222898125
SBUX,2023-01-01,99.29,5.41,94.67,87.77,92.52,0.17944556478219,0.00970800505471648
PLD,2023-01-01,117.61,19.71,116.23,107.47,128.65,0.17216272488319,0.03393327307447675
LRCX,2023-01-01,50.29,22.89,61.86,60.54,74.4,0.16618796609002,0.03804042543800558
MO,2023-01-01,38.54,-1.67,39.76,37.8,37.17,0.16416770863955,-0.002741600734280485
SO,2023-01-01,64.19,9.44,66.07,60.88,66.63,0.16333917228083,0.015419217863310353
EQIX,2023-01-01,686.12,11.67,746.12,700.91,782.69,0.1609602547996,0.018784061735113322
CRWD,2023-01-01,135.5,49.68,147.18,168.0,251.47,0.16054688566531,0.07975969279852602
PYPL,2023-01-01,75.62,4.44,67.12,58.62,61.22,0.15715605610715,0.006977728891157461
SHW,2023-01-01,223.0,20.12,259.02,250.92,301.41,0.15653776364975,0.031495398046329705
ICE,2023-01-01,102.07,17.42,110.35,107.7,126.46,0.15527279249214,0.02704852045213079
CME,2023-01-01,174.06,9.8,170.03,184.21,202.26,0.15464776456592,0.015155480927460161
AMT,2023-01-01,190.06,33.4,183.74,155.46,207.39,0.15446400564815999,0.05159097788648544
APH,2023-01-01,39.95,17.8,41.71,41.23,48.57,0.153091193297,0.027250232406866
ELV,2023-01-01,456.88,8.53,433.89,428.92,465.49,0.15270003499757,0.01302531298529272
TT,2023-01-01,179.61,19.55,187.24,200.35,239.51,0.15267170770851998,0.029847318857015658
MCO,2023-01-01,299.11,23.23,340.91,310.21,382.26,0.15205692300076,0.03532282321307655
CMG,2023-01-01,33.9,24.44,42.76,36.62,45.57,0.1516725443855,0.0370687698478162
INTC,2023-01-01,32.15,38.64,32.87,35.02,48.55,0.15146801900038,0.058527242541746835
KLAC,2023-01-01,389.38,25.2,477.07,452.78,566.88,0.15145861587321,0.03816757120004892
ABNB,2023-01-01,123.0,-1.55,129.28,136.55,134.43,0.15085792111776,-0.00233829777732528
DUK,2023-01-01,87.61,11.28,83.5,82.57,91.88,0.15048676288662,0.016974906853610736
PH,2023-01-01,328.0,18.33,380.06,382.33,452.42,0.14988088019894,0.027473165340465698
CDNS,2023-01-01,209.0,14.32,234.38,235.44,269.16,0.14875549684290001,0.021301787147903282
WM,2023-01-01,158.44,16.78,168.34,150.04,175.21,0.14863153179178998,0.024940371034662363
DELL,2023-01-01,38.55,10.58,52.3,66.92,74.0,0.14589501544775,0.015435692634371948
MDLZ,2023-01-01,66.47,5.2,70.0,66.98,70.46,0.14287891082413,0.00742970336285476
MAR,2023-01-01,162.11,15.34,180.28,193.15,222.78,0.1419699467774,0.02177818983565316
MSI,2023-01-01,278.38,15.44,286.23,267.89,309.25,0.14129771161556,0.021816366673442465
WELL,2023-01-01,68.46,11.6,77.03,78.71,87.84,0.13963394764461998,0.016197537926775918
AON,2023-01-01,310.13,-9.84,337.74,320.56,289.01,0.13947705690998,-0.013724542399942032
REGN,2023-01-01,817.75,5.67,709.18,825.94,872.79,0.1387599579251,0.00786768961435317
CI,2023-01-01,250.8,5.95,270.61,278.41,294.97,0.13857975097230998,0.008245495182852445
HCA,2023-01-01,259.16,9.98,296.75,243.14,267.41,0.13836367064722,0.013808694330592555
PNC,2023-01-01,116.68,27.87,117.71,114.96,147.0,0.13760418389788,0.03835028605233916
ITW,2023-01-01,232.72,13.77,240.35,223.45,254.23,0.13750642379991002,0.018934634557247608
SNPS,2023-01-01,385.18,10.14,431.52,461.19,507.95,0.13687790286249002,0.013879419350256487
CTAS,2023-01-01,108.91,26.24,117.45,116.31,146.83,0.13570728722232,0.035609592167136765
CL,2023-01-01,71.81,13.03,73.62,68.54,77.47,0.13527545081791,0.017626391241573672
USB,2023-01-01,33.21,33.67,30.88,30.83,41.21,0.13449662723025,0.04528501438842517
FTNT,2023-01-01,65.82,-1.17,75.3,58.79,58.1,0.13401975014147,-0.0015680310766551988
ZTS,2023-01-01,163.55,13.31,167.58,170.58,193.29,0.13380109058871,0.017808925157357304
MCK,2023-01-01,355.0,6.87,419.12,430.46,460.03,0.13240166060798,0.009095994083768226
GD,2023-01-01,219.03,17.94,206.57,214.67,253.18,0.1304237614451,0.023398022803250942
TDG,2023-01-01,675.59,23.96,812.09,768.4,952.49,0.12910248943203,0.030932956467914392
CEG,2023-01-01,76.66,7.73,89.76,107.1,115.38,0.12774583041531,0.009874752691103463
AJG,2023-01-01,187.42,-0.72,215.65,224.07,222.45,0.12723284413913,-0.0009160764778017359
EMR,2023-01-01,83.68,0.76,87.0,93.62,94.33,0.12714983722344,0.000966338762898144
MMM,2023-01-01,80.79,19.09,78.16,73.35,87.35,0.12665954815077,0.02417930774198199
ORLY,2023-01-01,851.67,4.4,954.46,908.86,948.89,0.12662264308739998,0.0055713962958456
NOC,2023-01-01,447.91,6.96,439.96,429.48,459.37,0.12307758308371,0.008566199782626216
COF,2023-01-01,92.53,35.6,106.19,94.47,128.1,0.12262262943013001,0.043653656077126284
ECL,2023-01-01,162.38,16.59,182.75,166.89,194.57,0.12139545501174,0.020139505986447665
EOG,2023-01-01,112.71,-2.33,107.76,120.32,117.52,0.12045879742903,-0.002806689980096399
FDX,2023-01-01,219.37,-5.0,239.81,259.42,246.45,0.11947972260496001,-0.0059739861302480005
BDX,2023-01-01,239.78,-4.74,255.51,251.07,239.16,0.11879455445866,-0.005630861881340484
APD,2023-01-01,274.03,-2.58,286.8,272.29,265.27,0.11802194312507999,-0.003044966132627064
WMB,2023-01-01,27.87,5.52,30.45,31.7,33.45,0.11731177120881,0.006475609770726312
SPG,2023-01-01,102.05,34.0,106.13,100.78,135.05,0.1159265711956,0.039415034206504
ADSK,2023-01-01,205.09,16.85,203.0,206.06,240.79,0.11558944403128,0.019476821319270685
RCL,2023-01-01,63.73,38.7,102.66,91.01,126.23,0.11533816093308999,0.04463586828110583
RSG,2023-01-01,132.24,15.47,149.41,140.17,161.85,0.11478148990938002,0.017756696488981087
CARR,2023-01-01,44.27,4.17,48.78,53.96,56.21,0.11055825515098,0.004610279239795866
CSX,2023-01-01,28.93,13.58,33.03,29.96,34.03,0.11050266174083001,0.015006261464404716
HLT,2023-01-01,139.74,21.81,143.73,148.34,180.69,0.10939338013469,0.023858696207375886
DLR,2023-01-01,92.19,12.35,108.27,115.65,129.93,0.10862428391996001,0.01341509906411506
TGT,2023-01-01,156.19,30.2,124.35,105.17,136.93,0.1083896552633,0.032733675889516596
KMI,2023-01-01,15.8,8.46,15.57,15.25,16.54,0.10731975477909,0.009079251254311015
OKE,2023-01-01,58.85,12.41,56.61,59.14,66.48,0.10519823685023999,0.013055101193114784
TFC,2023-01-01,30.28,30.75,27.71,26.31,34.4,0.10346446527107,0.03181532307085403
AFL,2023-01-01,61.67,8.29,67.02,74.21,80.36,0.10263507408261,0.008508447641448367
GM,2023-01-01,35.62,8.82,38.03,32.33,35.18,0.10249673167953999,0.009040211734135427
BK,2023-01-01,42.69,23.31,42.3,40.75,50.25,0.10153513664986,0.023667840353082364
ROP,2023-01-01,435.19,12.27,473.09,479.68,538.52,0.10135940281476999,0.012436798725372277
MET,2023-01-01,54.68,6.87,53.73,59.68,63.78,0.10135431068243,0.006963041143882942
CPRT,2023-01-01,37.36,12.68,45.53,43.31,48.8,0.10092487664435999,0.012797274358504846
FCX,2023-01-01,40.0,14.57,39.45,36.03,41.28,0.10046160313924,0.014637255577387268
CVS,2023-01-01,69.36,14.43,64.43,65.35,74.78,0.10043276000465001,0.014492447268670995
PCAR,2023-01-01,67.27,18.28,76.9,78.62,92.99,0.09934664723221999,0.018160567114049817
