Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Portfolio_Weight,Negative_Periods_Impact
KO,2023-01-01,57.51,-3.81,55.62,-3.29,59.05,6.17,60.81,2.98,56.82,-6.56,57.5,1.2,59.3,3.13,57.31,-3.36,53.82,-6.09,54.68,1.6,56.54,3.4,0.48,0.0
TMUS,2023-01-01,145.86,7.31,138.7,-4.91,141.8,2.24,141.34,-0.32,134.33,-4.96,135.85,1.13,135.06,-0.58,134.03,-0.76,136.83,2.09,141.4,3.34,147.61,4.39,0.46,0.0
CVX,2023-01-01,158.12,-2.65,148.11,-6.33,156.28,5.52,154.36,-1.23,140.62,-8.9,146.09,3.89,152.09,4.11,152.61,0.34,157.96,3.51,136.98,-13.28,136.05,-0.68,0.46,-608.52
MRK,2023-01-01,101.29,-3.12,100.34,-0.94,101.03,0.69,110.42,9.29,105.52,-4.44,109.88,4.13,105.2,-4.26,105.25,0.05,99.38,-5.58,100.07,0.69,99.4,-0.67,0.45,0.0
WFC,2023-01-01,43.86,12.12,43.99,0.3,35.5,-19.3,38.31,7.92,38.34,0.08,40.88,6.62,43.87,7.31,39.93,-8.98,39.11,-2.05,38.4,-1.82,43.15,12.37,0.42,-813.2
CSCO,2023-01-01,45.52,1.9,45.57,0.11,48.98,7.48,44.74,-8.66,47.16,5.41,48.68,3.22,50.21,3.14,54.81,9.16,51.42,-6.19,50.06,-2.64,46.44,-7.23,0.42,0.0
ACN,2023-01-01,269.06,3.17,257.79,-4.19,275.67,6.94,272.55,-1.13,298.57,9.55,300.78,0.74,309.17,2.79,319.57,3.36,301.45,-5.67,293.45,-2.65,328.52,11.95,0.41,0.0
NOW,2023-01-01,456.19,15.47,431.94,-5.32,461.53,6.85,456.31,-1.13,534.8,17.2,560.85,4.87,578.24,3.1,593.51,2.64,554.75,-6.53,581.0,4.73,685.45,17.98,0.41,0.0
AXP,2023-01-01,169.02,16.34,169.15,0.08,159.98,-5.42,158.36,-1.01,155.63,-1.72,170.55,9.59,164.9,-3.31,156.18,-5.29,145.72,-6.7,144.42,-0.89,168.26,16.51,0.38,0.0
MCD,2023-01-01,253.47,1.33,250.65,-1.11,268.27,7.03,282.33,5.24,272.02,-3.65,285.82,5.07,281.22,-1.61,272.64,-3.05,252.82,-7.27,253.78,0.38,274.96,8.35,0.38,0.0
PEP,2023-01-01,160.96,-5.37,162.31,0.84,172.49,6.27,180.6,4.7,172.99,-4.21,175.99,1.73,179.04,1.73,171.87,-4.0,162.59,-5.4,157.39,-3.2,163.15,3.66,0.38,0.0
BX,2023-01-01,88.55,23.5,85.55,-3.39,81.61,-4.61,85.59,4.88,81.86,-4.36,88.65,8.29,100.06,12.87,102.74,2.68,102.19,-0.54,89.64,-12.28,108.76,21.33,0.37,-457.79
IBM,2023-01-01,122.84,-4.69,119.18,-2.98,121.09,1.6,116.82,-3.53,120.37,3.04,125.04,3.88,135.19,8.12,139.6,3.26,132.75,-4.91,137.46,3.55,151.87,10.48,0.37,0.0
DIS,2023-01-01,107.18,21.95,97.98,-8.58,98.99,1.03,101.16,2.19,87.32,-13.68,88.03,0.81,88.03,0.0,81.11,-7.86,79.93,-1.45,80.54,0.76,91.61,13.74,0.37,-499.33
LIN,2023-01-01,322.29,4.11,341.16,5.85,345.72,1.34,362.69,4.91,347.51,-4.19,375.0,7.91,382.69,2.05,382.01,-0.18,365.34,-4.36,376.5,3.05,406.22,7.89,0.36,0.0
TMO,2023-01-01,582.94,5.93,536.44,-7.98,566.82,5.66,553.36,-2.37,510.7,-7.71,517.23,1.28,544.31,5.24,561.16,3.1,501.38,-10.65,443.62,-11.52,489.22,10.28,0.36,-799.52
MS,2023-01-01,90.18,14.12,89.26,-1.02,81.81,-8.35,84.62,3.43,77.48,-8.44,81.01,4.56,86.36,6.6,81.43,-5.71,76.79,-5.7,68.21,-11.17,75.8,11.13,0.36,-399.65
ABT,2023-01-01,106.41,0.7,96.72,-9.11,96.82,0.1,106.63,10.13,98.38,-7.74,104.5,6.22,107.38,2.76,100.29,-6.6,92.88,-7.39,92.51,-0.4,101.65,9.88,0.36,0.0
ADBE,2023-01-01,370.01,8.78,323.8,-12.49,380.88,17.63,376.51,-1.15,412.29,9.5,486.39,17.97,545.78,12.21,564.8,3.48,508.24,-10.01,535.0,5.27,609.24,13.88,0.35,-796.83
AMD,2023-01-01,78.47,18.89,78.55,0.1,96.7,23.11,91.03,-5.86,117.29,28.85,115.16,-1.82,114.26,-0.78,107.0,-6.35,102.21,-4.48,98.58,-3.55,119.88,21.61,0.35,0.0
PM,2023-01-01,94.25,2.95,89.29,-5.26,88.86,-0.48,91.17,2.6,82.39,-9.63,90.77,10.17,92.62,2.04,89.6,-3.26,86.69,-3.25,84.12,-2.96,87.66,4.21,0.35,0.0
ISRG,2023-01-01,246.8,-8.45,228.47,-7.43,254.3,11.31,301.0,18.36,308.0,2.33,339.92,10.36,322.0,-5.27,317.55,-1.38,291.96,-8.06,262.17,-10.2,310.59,18.47,0.34,-342.78
PLTR,2023-01-01,7.73,17.48,7.83,1.29,8.37,6.9,7.75,-7.41,14.46,86.58,15.49,7.12,19.46,25.63,15.16,-22.1,16.03,5.74,14.8,-7.67,19.93,34.66,0.33,-729.59
GE,2023-01-01,63.45,22.35,66.92,5.47,75.76,13.21,78.72,3.91,80.08,1.73,86.29,7.75,90.02,4.32,91.07,1.17,87.52,-3.9,85.81,-1.95,96.43,12.38,0.33,0.0
INTU,2023-01-01,414.97,6.17,399.82,-3.65,437.34,9.38,436.92,-0.1,412.98,-5.48,447.75,8.42,505.8,12.96,540.25,6.81,506.07,-6.33,488.95,-3.38,567.06,15.98,0.32,0.0
GS,2023-01-01,338.16,3.94,329.02,-2.7,309.32,-5.99,326.31,5.49,310.12,-4.96,308.11,-0.65,338.3,9.8,317.68,-6.1,310.31,-2.32,292.29,-5.81,331.74,13.5,0.32,0.0
CAT,2023-01-01,243.07,5.1,233.67,-3.87,222.08,-4.96,212.93,-4.12,201.61,-5.32,238.76,18.43,266.09,11.45,277.84,4.42,265.98,-4.27,220.75,-17.01,247.03,11.9,0.32,-540.83
TXN,2023-01-01,166.82,6.61,161.2,-3.37,174.67,8.36,158.53,-9.24,167.03,5.36,171.11,2.44,171.19,0.05,162.57,-5.04,152.55,-6.16,137.67,-9.75,147.78,7.34,0.31,0.0
QCOM,2023-01-01,126.04,19.15,117.59,-6.7,121.38,3.22,112.03,-7.7,110.26,-1.58,114.79,4.11,126.96,10.6,112.14,-11.67,107.0,-4.58,105.81,-1.11,125.89,18.98,0.31,-356.64
VZ,2023-01-01,36.6,7.24,33.74,-7.81,34.04,0.89,34.71,1.97,31.54,-9.13,32.94,4.44,30.93,-6.1,31.56,2.04,29.26,-7.29,32.62,11.48,35.37,8.43,0.3,0.0
BKNG,2023-01-01,2396.14,18.81,2502.64,4.44,2616.19,4.54,2651.33,1.34,2476.05,-6.61,2664.57,7.61,2910.38,9.23,3101.56,6.57,3038.58,-2.03,2772.69,-8.75,3091.49,11.5,0.3,0.0
DHR,2023-01-01,232.96,-1.01,215.92,-7.31,219.95,1.87,210.42,-4.33,202.08,-3.96,209.25,3.55,224.65,7.36,236.06,5.08,217.59,-7.82,190.81,-12.31,221.22,15.94,0.3,-365.6
T,2023-01-01,18.09,12.15,16.64,-8.02,17.03,2.34,15.9,-6.64,14.12,-11.19,14.3,1.27,13.29,-7.06,13.51,1.66,13.72,1.55,14.4,4.96,15.44,7.22,0.29,-328.63
BLK,2023-01-01,711.63,4.68,645.0,-9.36,631.95,-2.02,642.0,1.59,631.05,-1.71,661.01,4.75,702.51,6.28,674.61,-3.97,622.1,-7.78,592.94,-4.69,723.7,22.05,0.29,0.0
RTX,2023-01-01,94.66,-1.05,93.38,-1.35,93.6,0.24,95.18,1.69,88.44,-7.08,93.43,5.64,83.52,-10.61,83.58,0.07,69.23,-17.17,79.13,14.3,79.21,0.1,0.28,-774.87
SPGI,2023-01-01,365.53,8.94,334.49,-8.49,336.87,0.71,355.75,5.6,361.41,1.59,392.81,8.69,388.89,-1.0,389.06,0.04,362.98,-6.7,346.44,-4.56,413.03,19.22,0.27,0.0
PFE,2023-01-01,39.3,-13.13,36.3,-7.63,36.42,0.33,34.9,-4.17,34.49,-1.17,33.02,-4.26,32.82,-0.61,32.6,-0.67,30.14,-7.55,27.95,-7.27,26.86,-3.9,0.27,-352.88
HON,2023-01-01,197.63,-3.6,182.6,-7.61,182.54,-0.03,191.58,4.95,184.73,-3.58,199.12,7.79,186.18,-6.5,183.01,-1.7,178.15,-2.66,178.33,0.1,191.37,7.31,0.27,0.0
NEE,2023-01-01,69.94,-11.56,66.85,-4.42,72.69,8.74,72.14,-0.76,69.35,-3.87,70.13,1.12,69.61,-0.74,64.38,-7.51,53.61,-16.73,55.55,3.62,56.43,1.58,0.27,-750.14
CMCSA,2023-01-01,36.85,12.76,34.76,-5.67,35.82,3.05,39.89,11.36,37.58,-5.79,38.92,3.57,43.48,11.72,44.64,2.67,42.32,-5.2,39.83,-5.88,40.68,2.13,0.26,0.0
ANET,2023-01-01,31.37,2.08,34.7,10.62,41.41,19.34,40.14,-3.07,41.45,3.26,40.33,-2.7,44.38,10.04,49.44,11.4,46.13,-6.69,50.73,9.97,54.75,7.92,0.26,0.0
AMGN,2023-01-01,231.88,-4.49,216.28,-6.73,227.2,5.05,225.35,-0.81,208.46,-7.5,209.64,0.57,222.64,6.2,247.14,11.0,255.76,3.49,244.84,-4.27,259.94,6.17,0.25,0.0
PGR,2023-01-01,131.78,4.8,139.01,5.49,138.85,-0.12,132.66,-4.46,124.87,-5.87,128.54,2.94,123.16,-4.19,130.9,6.28,135.31,3.37,155.01,14.56,160.04,3.24,0.25,0.0
LOW,2023-01-01,199.57,3.49,197.63,-0.97,193.42,-2.13,200.93,3.88,194.28,-3.31,217.16,11.78,226.27,4.2,225.64,-0.28,201.44,-10.73,186.79,-7.27,194.63,4.2,0.25,-270.02
SYK,2023-01-01,264.32,9.04,256.41,-2.99,279.51,9.01,294.5,5.36,270.46,-8.16,298.53,10.38,276.01,-7.54,281.31,1.92,268.22,-4.65,268.35,0.05,293.0,9.19,0.25,0.0
UNP,2023-01-01,192.86,-1.97,196.91,2.1,191.97,-2.51,186.82,-2.68,185.13,-0.9,195.51,5.61,222.68,13.9,214.45,-3.7,195.34,-8.91,200.34,2.56,220.03,9.83,0.25,0.0
TJX,2023-01-01,79.39,2.84,73.97,-6.83,75.89,2.6,76.82,1.23,74.61,-2.88,82.38,10.41,84.45,2.51,90.63,7.32,86.76,-4.27,86.76,0.0,86.84,0.09,0.25,0.0
