Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Portfolio_Weight,Negative_Periods_Impact
ICE,2023-01-01,103.91,3.09,98.94,-4.78,102.07,3.16,106.27,4.11,103.66,-2.46,110.35,6.45,111.83,1.34,116.4,4.09,107.7,-7.47,106.01,-1.57,111.42,5.1,0.16,0.0
CME,2023-01-01,159.82,4.75,167.74,4.96,174.06,3.77,169.49,-2.63,163.52,-3.52,170.03,3.98,182.92,7.58,186.12,1.75,184.21,-1.03,198.25,7.62,201.89,1.84,0.15,0.0
AMT,2023-01-01,207.55,3.69,183.82,-11.43,190.06,3.39,191.56,0.79,173.57,-9.39,183.74,5.86,181.22,-1.37,173.37,-4.33,155.46,-10.33,171.28,10.18,199.99,16.76,0.15,-336.11
APH,2023-01-01,39.03,3.64,37.99,-2.66,39.95,5.16,37.16,-6.98,37.2,0.11,41.71,12.12,43.53,4.36,43.92,0.9,41.23,-6.12,39.91,-3.2,45.21,13.28,0.15,0.0
ELV,2023-01-01,486.14,-1.9,452.32,-6.96,456.88,1.01,458.18,0.28,439.59,-4.06,433.89,-1.3,463.34,6.79,437.12,-5.66,428.92,-1.88,441.22,2.87,470.63,6.67,0.15,0.0
TT,2023-01-01,174.43,4.52,179.79,3.07,179.61,-0.1,182.6,1.66,159.31,-12.75,187.24,17.53,195.96,4.66,204.16,4.18,200.35,-1.87,198.29,-1.03,224.19,13.06,0.15,-194.66
MCO,2023-01-01,314.64,13.16,283.59,-9.87,299.11,5.47,307.04,2.65,312.07,1.64,340.91,9.24,345.49,1.34,335.66,-2.85,310.21,-7.58,305.03,-1.67,360.44,18.17,0.15,0.0
CMG,2023-01-01,32.93,17.57,29.66,-9.93,33.9,14.3,41.1,21.24,41.16,0.15,42.76,3.89,39.0,-8.79,38.56,-1.13,36.62,-5.03,39.0,6.5,44.0,12.82,0.15,0.0
INTC,2023-01-01,26.89,3.11,24.43,-9.15,32.15,31.6,30.36,-5.57,31.16,2.64,32.87,5.49,35.1,6.78,35.2,0.28,35.02,-0.51,35.9,2.51,43.77,21.92,0.15,0.0
KLAC,2023-01-01,383.56,2.23,366.44,-4.46,389.38,6.26,378.18,-2.88,438.08,15.84,477.07,8.9,505.52,5.96,496.65,-1.75,452.78,-8.83,465.79,2.87,537.24,15.34,0.15,0.0
ABNB,2023-01-01,111.11,27.14,122.38,10.14,123.0,0.51,119.26,-3.04,109.84,-7.9,129.28,17.7,149.62,15.73,133.7,-10.64,136.55,2.13,118.25,-13.4,125.5,6.13,0.15,-362.66
DUK,2023-01-01,92.77,-1.41,86.6,-6.65,87.61,1.17,91.05,3.93,83.47,-8.33,83.5,0.04,87.08,4.29,83.99,-3.55,82.57,-1.69,83.94,1.66,87.77,4.56,0.15,0.0
PH,2023-01-01,314.5,10.49,342.35,8.86,328.0,-4.19,316.8,-3.41,315.75,-0.33,380.06,20.37,398.45,4.84,411.92,3.38,382.33,-7.18,363.42,-4.95,427.38,17.6,0.15,0.0
CDNS,2023-01-01,181.78,11.64,193.14,6.25,209.0,8.21,209.3,0.14,228.57,9.21,234.38,2.54,231.43,-1.26,242.21,4.66,235.44,-2.8,240.8,2.28,272.85,13.31,0.15,0.0
WM,2023-01-01,145.39,-4.64,144.75,-0.44,158.44,9.46,161.36,1.84,157.47,-2.41,168.34,6.9,160.53,-4.64,153.86,-4.15,150.04,-2.48,161.08,7.36,168.82,4.81,0.15,0.0
DELL,2023-01-01,38.89,0.65,39.22,0.85,38.55,-1.71,42.12,9.26,43.6,3.51,52.3,19.95,51.48,-1.57,62.51,21.43,66.92,7.05,66.0,-1.37,70.48,6.79,0.15,0.0
MDLZ,2023-01-01,62.49,-1.26,61.84,-1.04,66.47,7.49,73.22,10.15,70.45,-3.78,70.0,-0.64,71.43,2.04,69.01,-3.39,66.98,-2.94,64.31,-3.99,68.59,6.66,0.14,0.0
MAR,2023-01-01,169.15,15.46,166.02,-1.85,162.11,-2.36,165.57,2.13,164.93,-0.39,180.28,9.31,196.15,8.8,201.69,2.82,193.15,-4.23,187.12,-3.12,200.3,7.04,0.14,0.0
MSI,2023-01-01,249.78,-1.08,255.36,2.23,278.38,9.01,286.91,3.06,276.53,-3.62,286.23,3.51,284.16,-0.72,279.54,-1.63,267.89,-4.17,274.96,2.64,319.47,16.19,0.14,0.0
WELL,2023-01-01,70.74,12.72,69.97,-1.09,68.46,-2.16,75.16,9.79,71.02,-5.51,77.03,8.46,78.4,1.78,80.46,2.63,78.71,-2.17,80.96,2.86,86.65,7.03,0.14,0.0
AON,2023-01-01,311.91,5.27,298.07,-4.44,310.13,4.05,319.29,2.95,305.7,-4.26,337.74,10.48,314.72,-6.82,331.89,5.46,320.56,-3.41,308.04,-3.91,325.94,5.81,0.14,0.0
REGN,2023-01-01,751.22,4.2,758.91,1.02,817.75,7.75,802.68,-1.84,735.06,-8.42,709.18,-3.52,743.7,4.87,833.48,12.07,825.94,-0.9,782.9,-5.21,823.88,5.23,0.14,0.0
CI,2023-01-01,302.86,-3.77,277.78,-8.28,250.8,-9.71,244.57,-2.48,240.29,-1.75,270.61,12.62,286.95,6.04,269.51,-6.08,278.41,3.3,299.88,7.71,257.21,-14.23,0.14,-197.2
HCA,2023-01-01,247.86,4.31,237.76,-4.07,259.16,9.0,283.77,9.5,260.52,-8.19,296.75,13.91,269.75,-9.1,275.67,2.19,243.14,-11.8,222.75,-8.39,247.96,11.32,0.14,-163.27
PNC,2023-01-01,150.64,3.55,144.33,-4.19,116.68,-19.16,117.74,0.91,109.12,-7.32,117.71,7.87,128.33,9.02,114.66,-10.65,114.96,0.26,109.54,-4.71,127.63,16.51,0.14,-410.2
ITW,2023-01-01,225.63,6.96,222.11,-1.56,232.72,4.78,233.53,0.35,210.54,-9.84,240.35,14.16,246.89,2.72,240.53,-2.58,223.45,-7.1,218.75,-2.1,235.03,7.44,0.14,0.0
SNPS,2023-01-01,353.67,9.5,363.19,2.69,385.18,6.05,370.76,-3.74,446.53,20.44,431.52,-3.36,448.14,3.85,460.0,2.65,461.19,0.26,470.7,2.06,543.56,15.48,0.14,0.0
CTAS,2023-01-01,103.94,-2.35,103.28,-0.63,108.91,5.45,107.72,-1.09,113.28,5.16,117.45,3.68,120.25,2.38,123.02,2.3,116.31,-5.45,123.06,5.8,135.19,9.86,0.14,0.0
CL,2023-01-01,71.03,-4.94,70.0,-1.45,71.81,2.59,76.68,6.78,71.95,-6.17,73.62,2.32,73.57,-0.07,71.47,-2.85,68.54,-4.1,73.11,6.67,76.72,4.94,0.14,0.0
USB,2023-01-01,44.57,11.4,42.72,-4.15,33.21,-22.26,31.42,-5.39,27.61,-12.13,30.88,11.84,36.73,18.94,34.3,-6.62,30.83,-10.12,30.12,-2.3,35.82,18.92,0.13,-598.64
FTNT,2023-01-01,52.15,5.29,59.54,14.17,65.82,10.55,62.3,-5.35,67.64,8.57,75.3,11.32,77.64,3.11,60.5,-22.08,58.79,-2.83,57.43,-2.31,52.05,-9.37,0.13,-295.92
ZTS,2023-01-01,162.24,11.56,162.74,0.31,163.55,0.5,172.68,5.58,160.08,-7.3,167.58,4.69,184.62,10.17,190.05,2.94,170.58,-10.24,154.42,-9.47,174.0,12.68,0.13,-137.01
MCK,2023-01-01,370.39,0.52,344.85,-6.9,355.0,2.94,361.52,1.84,388.93,7.58,419.12,7.76,399.04,-4.79,410.35,2.83,430.46,4.9,450.32,4.61,469.73,4.31,0.13,0.0
GD,2023-01-01,221.41,-6.22,217.58,-1.73,219.03,0.67,210.03,-4.11,197.81,-5.82,206.57,4.43,216.47,4.79,220.82,2.01,214.67,-2.79,235.95,9.91,240.92,2.11,0.13,0.0
TDG,2023-01-01,651.78,12.7,678.84,4.15,675.59,-0.48,698.87,3.45,708.59,1.39,812.09,14.61,819.73,0.94,830.74,1.34,768.4,-7.5,759.42,-1.17,908.24,19.6,0.13,0.0
CEG,2023-01-01,83.69,-0.63,72.86,-12.94,76.66,5.22,76.19,-0.61,83.71,9.87,89.76,7.23,94.92,5.75,104.46,10.05,107.1,2.53,112.34,4.89,119.56,6.43,0.13,-165.3
AJG,2023-01-01,191.69,3.73,182.6,-4.74,187.42,2.64,204.08,8.89,196.79,-3.57,215.65,9.58,211.71,-1.83,228.23,7.8,224.07,-1.82,232.76,3.88,245.74,5.58,0.13,0.0
EMR,2023-01-01,85.44,-7.33,79.4,-7.07,83.68,5.39,80.15,-4.22,75.33,-6.01,87.0,15.49,87.69,0.79,95.55,8.96,93.62,-2.02,86.69,-7.4,87.24,0.63,0.13,0.0
MMM,2023-01-01,86.86,-5.74,85.32,-1.77,80.79,-5.31,81.71,1.14,72.91,-10.77,78.16,7.2,86.97,11.27,84.95,-2.32,73.35,-13.66,72.17,-1.61,79.48,10.13,0.13,-309.43
ORLY,2023-01-01,788.56,-6.39,822.69,4.33,851.67,3.52,917.75,7.76,903.31,-1.57,954.46,5.66,926.44,-2.94,945.57,2.06,908.86,-3.88,934.92,2.87,984.5,5.3,0.13,0.0
NOC,2023-01-01,429.09,-18.25,446.62,4.09,447.91,0.29,446.6,-0.29,424.09,-5.04,439.96,3.74,432.94,-1.6,424.43,-1.97,429.48,1.19,462.97,7.8,466.42,0.75,0.12,-224.62
COF,2023-01-01,108.33,21.95,105.48,-2.63,92.53,-12.28,93.73,1.3,101.88,8.7,106.19,4.23,112.77,6.2,100.6,-10.79,94.47,-6.09,99.13,4.93,109.21,10.17,0.12,-282.89
ECL,2023-01-01,150.42,4.57,155.07,3.09,162.38,4.71,164.75,1.46,162.06,-1.63,182.75,12.77,180.05,-1.48,181.5,0.81,166.89,-8.05,165.33,-0.93,189.25,14.47,0.12,0.0
EOG,2023-01-01,121.45,3.18,104.88,-13.64,112.71,7.47,110.82,-1.68,101.28,-8.61,107.76,6.4,124.53,15.56,123.73,-0.64,120.32,-2.76,120.77,0.37,116.88,-3.22,0.12,-164.31
FDX,2023-01-01,185.32,10.36,195.06,5.26,219.37,12.46,220.46,0.5,209.91,-4.79,239.81,14.24,261.33,8.97,254.99,-2.43,259.42,1.74,234.61,-9.56,252.74,7.73,0.12,0.0
BDX,2023-01-01,244.1,-4.06,225.2,-7.74,239.78,6.47,256.68,7.05,237.02,-7.66,255.51,7.8,269.65,5.53,274.25,1.71,251.07,-8.45,248.51,-1.02,231.19,-6.97,0.12,0.0
APD,2023-01-01,303.24,2.92,270.89,-10.67,274.03,1.16,281.99,2.9,255.98,-9.22,286.8,12.04,292.13,1.86,287.2,-1.69,272.29,-5.19,273.94,0.61,261.9,-4.4,0.12,-125.93
WMB,2023-01-01,28.89,-2.5,27.23,-5.75,27.87,2.35,27.59,-1.0,26.4,-4.31,30.45,15.34,32.17,5.65,32.53,1.12,31.7,-2.55,32.63,2.93,34.72,6.41,0.12,0.0
SPG,2023-01-01,114.29,8.27,109.15,-4.5,102.05,-6.5,102.49,0.43,95.44,-6.88,106.13,11.2,114.75,8.12,105.45,-8.1,100.78,-4.43,104.05,3.24,117.23,12.67,0.12,0.0
ADSK,2023-01-01,213.89,12.21,199.48,-6.74,205.09,2.81,194.79,-5.02,199.21,2.27,203.0,1.9,211.17,4.02,224.07,6.11,206.06,-8.04,198.12,-3.85,218.27,10.17,0.12,0.0
RCL,2023-01-01,64.47,28.61,70.27,9.0,63.73,-9.31,64.99,1.98,80.24,23.47,102.66,27.94,106.19,3.44,98.41,-7.33,91.01,-7.52,84.06,-7.64,106.61,26.83,0.12,0.0
RSG,2023-01-01,120.36,-4.82,125.93,4.63,132.24,5.01,141.63,7.1,138.99,-1.86,149.41,7.5,150.67,0.84,141.81,-5.88,140.17,-1.16,146.56,4.56,159.61,8.9,0.11,0.0
CARR,2023-01-01,43.93,7.7,43.66,-0.61,44.27,1.4,40.48,-8.56,40.1,-0.94,48.78,21.65,58.21,19.33,56.62,-2.73,53.96,-4.7,47.3,-12.34,51.33,8.52,0.11,-136.43
CSX,2023-01-01,29.81,-1.0,29.54,-0.91,28.93,-2.06,29.8,3.01,30.38,1.95,33.03,8.72,32.51,-1.57,29.84,-8.21,29.96,0.4,29.23,-2.44,31.84,8.93,0.11,0.0
HLT,2023-01-01,143.47,13.11,143.37,-0.07,139.74,-2.53,142.56,2.02,135.86,-4.7,143.73,5.79,153.89,7.07,149.41,-2.91,148.34,-0.72,151.55,2.16,167.16,10.3,0.11,0.0
DLR,2023-01-01,106.47,12.8,96.05,-9.79,92.19,-4.02,92.8,0.66,96.16,3.62,108.27,12.59,118.06,9.04,126.23,6.92,115.65,-8.38,119.57,3.39,131.96,10.36,0.11,0.0
TGT,2023-01-01,160.54,14.75,157.84,-1.68,156.19,-1.05,148.01,-5.24,121.53,-17.89,124.35,2.32,128.83,3.6,121.57,-5.64,105.17,-13.49,105.87,0.67,128.46,21.34,0.11,-340.13
KMI,2023-01-01,16.23,2.92,15.31,-5.67,15.8,3.2,15.4,-2.53,14.59,-5.26,15.57,6.72,16.29,4.62,15.97,-1.96,15.25,-4.51,15.2,-0.33,16.39,7.83,0.11,0.0
OKE,2023-01-01,61.15,4.71,59.25,-3.11,58.85,-0.68,59.49,1.09,52.0,-12.59,56.61,8.87,62.04,9.59,61.25,-1.27,59.14,-3.44,61.8,4.5,64.81,4.87,0.11,-132.44
TFC,2023-01-01,43.15,12.75,41.52,-3.78,30.28,-27.07,28.89,-4.59,28.18,-2.46,27.71,-1.67,29.73,7.29,28.5,-4.14,26.31,-7.68,26.2,-0.42,30.07,14.77,0.1,-280.08
AFL,2023-01-01,69.77,1.9,65.25,-6.48,61.67,-5.49,66.84,8.38,62.28,-6.82,67.02,7.61,69.76,4.09,72.47,3.88,74.21,2.4,75.83,2.18,80.08,5.6,0.1,0.0
GM,2023-01-01,38.53,15.95,37.78,-1.95,35.62,-5.72,33.29,-6.54,31.81,-4.45,38.03,19.55,37.35,-1.79,33.07,-11.46,32.33,-2.24,28.28,-12.53,31.12,10.04,0.1,-245.89
BK,2023-01-01,46.95,9.52,47.2,0.53,42.69,-9.56,40.6,-4.9,38.42,-5.37,42.3,10.1,43.25,2.25,43.29,0.09,40.75,-5.87,41.07,0.79,46.61,13.49,0.1,0.0
ROP,2023-01-01,417.09,-3.03,423.92,1.64,435.19,2.66,450.98,3.63,445.68,-1.18,473.09,6.15,487.33,3.01,496.11,1.8,479.68,-3.31,486.64,1.45,534.42,9.82,0.1,0.0
MET,2023-01-01,67.47,-0.03,67.11,-0.53,54.68,-18.52,57.2,4.61,47.15,-17.57,53.73,13.96,59.38,10.52,60.95,2.64,59.68,-2.08,57.32,-3.95,61.08,6.56,0.1,-365.79
CPRT,2023-01-01,33.24,8.27,35.18,5.84,37.36,6.2,39.11,4.68,43.96,12.4,45.53,3.57,44.12,-3.1,45.21,2.47,43.31,-4.2,43.72,0.95,50.08,14.55,0.1,0.0
FCX,2023-01-01,43.06,17.04,41.43,-3.79,40.0,-3.45,37.93,-5.18,34.03,-10.28,39.45,15.93,42.8,8.49,40.09,-6.33,36.03,-10.13,33.32,-7.52,37.22,11.7,0.1,-205.04
CVS,2023-01-01,81.36,-3.38,76.64,-5.8,69.36,-9.5,68.59,-1.11,63.7,-7.13,64.43,1.15,70.25,9.03,61.46,-12.51,65.35,6.33,62.32,-4.64,64.37,3.29,0.1,-125.64
PCAR,2023-01-01,66.23,9.82,66.08,-0.23,67.27,1.8,68.57,1.93,63.56,-7.31,76.9,20.99,79.08,2.83,76.56,-3.19,78.62,2.69,76.45,-2.76,85.22,11.47,0.1,0.0
SRE,2023-01-01,74.83,3.41,69.96,-6.51,71.32,1.94,73.37,2.87,68.12,-7.16,68.16,0.06,70.96,4.11,67.43,-4.97,64.88,-3.78,67.66,4.28,70.11,3.62,0.1,0.0
AZO,2023-01-01,2435.98,-0.23,2458.51,0.92,2466.44,0.32,2669.93,8.25,2386.21,-10.63,2468.55,3.45,2487.46,0.77,2547.21,2.4,2535.0,-0.48,2476.85,-2.29,2616.82,5.65,0.1,-104.59
TRV,2023-01-01,181.45,1.22,176.65,-2.65,165.06,-6.56,173.99,5.41,164.07,-5.7,167.29,1.96,167.05,-0.14,157.62,-5.65,159.3,1.07,164.15,3.04,175.76,7.07,0.1,0.0
NXPI,2023-01-01,178.08,15.2,173.44,-2.61,180.54,4.09,159.81,-11.48,175.33,9.71,201.09,14.69,216.62,7.72,202.93,-6.32,197.42,-2.72,168.7,-14.55,200.58,18.9,0.1,-250.24
JCI,2023-01-01,63.27,2.08,59.62,-5.77,57.67,-3.27,57.5,-0.29,56.75,-1.3,65.62,15.63,66.95,2.03,57.47,-14.16,51.5,-10.39,48.08,-6.64,51.53,7.18,0.1,-235.85
GWW,2023-01-01,572.88,4.67,655.3,14.39,673.14,2.72,685.74,1.87,640.93,-6.53,775.11,20.94,723.89,-6.61,709.38,-2.0,684.68,-3.48,722.91,5.58,778.1,7.63,0.1,0.0
NSC,2023-01-01,231.65,-1.15,213.74,-7.73,200.9,-6.01,193.73,-3.57,201.15,3.83,216.04,7.4,223.88,3.63,198.99,-11.12,182.66,-8.21,184.98,1.27,215.89,16.71,0.1,-105.98
PSA,2023-01-01,279.14,7.78,272.69,-2.31,285.74,4.79,273.48,-4.29,263.96,-3.48,273.74,3.71,265.83,-2.89,261.55,-1.61,251.82,-3.72,229.29,-8.95,245.83,7.21,0.09,0.0
SLB,2023-01-01,54.08,7.66,50.84,-5.99,49.91,-1.83,46.63,-6.57,41.11,-11.84,47.33,15.13,55.7,17.68,57.46,3.16,56.22,-2.16,53.99,-3.97,50.11,-7.19,0.09,-110.79
AMP,2023-01-01,338.4,11.52,332.15,-1.85,298.14,-10.24,297.84,-0.1,293.02,-1.62,323.07,10.26,338.25,4.7,332.43,-1.72,320.61,-3.56,309.37,-3.51,347.44,12.31,0.09,-95.11
ALL,2023-01-01,121.15,-5.97,122.65,1.24,107.84,-12.08,110.59,2.55,103.56,-6.36,105.16,1.54,108.5,3.18,105.67,-2.61,107.95,2.16,125.53,16.29,134.13,6.85,0.09,-111.4
FICO,2023-01-01,662.47,8.84,675.54,1.97,700.0,3.62,726.72,3.82,786.3,8.2,805.9,2.49,835.43,3.66,909.87,8.91,865.0,-4.93,849.23,-1.82,1084.97,27.76,0.09,0.0
MNST,2023-01-01,52.0,2.2,49.1,-5.58,54.22,10.43,55.82,2.95,58.57,4.93,57.0,-2.68,57.6,1.05,57.7,0.17,52.83,-8.44,51.21,-3.07,54.92,7.24,0.09,0.0
PAYX,2023-01-01,108.2,-0.85,103.84,-4.03,106.12,2.2,103.16,-2.79,100.58,-2.5,105.84,5.23,118.96,12.4,117.38,-1.33,109.86,-6.41,104.62,-4.77,117.58,12.39,0.09,0.0
CHTR,2023-01-01,381.23,11.45,365.28,-4.18,358.98,-1.72,368.64,2.69,328.15,-10.98,366.24,11.61,404.26,10.38,423.2,4.69,440.13,4.0,402.85,-8.47,400.13,-0.68,0.09,-98.73
AEP,2023-01-01,85.27,-1.77,80.89,-5.14,83.52,3.25,85.21,2.02,77.64,-8.88,78.42,1.0,79.03,0.78,74.23,-6.07,70.25,-5.36,71.24,1.41,75.99,6.67,0.09,0.0
ROST,2023-01-01,116.48,2.05,104.69,-10.12,104.05,-0.61,104.57,0.5,101.51,-2.93,109.48,7.85,112.75,2.99,120.17,6.58,111.56,-7.16,114.73,2.84,129.26,12.66,0.09,-89.6
PWR,2023-01-01,151.05,6.06,161.42,6.87,166.37,3.07,169.34,1.79,176.55,4.26,195.45,10.71,200.53,2.6,210.47,4.96,186.56,-11.36,163.78,-12.21,187.49,14.48,0.09,-205.57
CMI,2023-01-01,233.72,1.69,231.74,-0.85,227.19,-1.96,223.8,-1.49,196.24,-12.31,235.16,19.83,249.88,6.26,223.69,-10.48,219.98,-1.66,209.59,-4.72,218.85,4.42,0.09,-197.64
AXON,2023-01-01,197.16,17.44,208.74,5.87,223.98,7.3,211.33,-5.65,191.59,-9.34,194.31,1.42,184.45,-5.07,213.61,15.81,197.29,-7.64,204.95,3.88,229.87,12.16,0.09,0.0
VST,2023-01-01,22.01,-1.61,21.26,-3.41,23.17,8.98,23.15,-0.09,23.33,0.78,25.59,9.69,27.37,6.96,30.93,13.01,32.86,6.24,32.37,-1.49,34.86,7.69,0.09,0.0
URI,2023-01-01,427.98,22.74,457.16,6.82,386.0,-15.57,353.03,-8.54,329.35,-6.71,435.16,32.13,455.12,4.59,476.86,4.78,437.26,-8.3,397.85,-9.01,473.31,18.97,0.09,-132.84
MSCI,2023-01-01,529.0,15.55,507.46,-4.07,541.01,6.61,471.89,-12.78,461.83,-2.13,459.21,-0.57,535.49,16.61,538.38,0.54,502.64,-6.64,460.23,-8.44,511.55,11.15,0.09,-108.98
LULU,2023-01-01,306.9,-6.11,309.39,0.81,364.19,17.71,380.58,4.5,330.91,-13.05,379.9,14.8,376.99,-0.77,393.0,4.25,384.6,-2.14,393.31,2.26,447.6,13.8,0.08,-108.49
O,2023-01-01,60.27,6.28,57.13,-5.21,56.56,-1.0,56.48,-0.14,53.88,-4.6,54.37,0.91,55.75,2.54,51.68,-7.3,45.97,-11.05,44.22,-3.81,50.21,13.55,0.08,-91.85
PSX,2023-01-01,92.07,-3.48,95.98,4.25,97.83,1.93,91.51,-6.46,87.5,-4.38,90.11,2.98,104.75,16.25,110.43,5.42,114.2,3.41,109.21,-4.37,123.31,12.91,0.08,0.0
AIG,2023-01-01,59.76,-1.42,58.43,-2.23,48.53,-16.94,50.58,4.22,51.23,1.29,55.71,8.74,58.46,4.94,57.0,-2.5,58.86,3.26,60.09,2.09,63.95,6.42,0.08,-138.19
FANG,2023-01-01,130.61,7.43,126.37,-3.25,131.57,4.11,128.69,-2.19,117.97,-8.33,121.76,3.21,135.28,11.1,142.28,5.17,144.37,1.47,150.69,4.38,146.69,-2.65,0.08,0.0
D,2023-01-01,56.28,2.98,49.32,-12.37,50.52,2.43,51.39,1.72,44.72,-12.98,47.14,5.41,48.9,3.73,45.24,-7.48,41.24,-8.84,37.36,-9.41,42.73,14.37,0.08,-205.58
HWM,2023-01-01,40.16,2.71,41.91,4.36,41.98,0.17,44.0,4.81,42.9,-2.5,48.91,14.01,49.45,1.1,49.69,0.49,45.73,-7.97,44.1,-3.56,52.42,18.87,0.08,0.0
DHI,2023-01-01,96.03,8.13,90.44,-5.82,95.6,5.71,107.7,12.66,105.73,-1.83,119.73,13.24,124.66,4.12,117.62,-5.65,104.83,-10.87,103.18,-1.57,126.58,22.68,0.08,-87.6
KR,2023-01-01,42.17,-0.17,41.03,-2.7,47.35,15.4,46.69,-1.39,43.38,-7.09,45.08,3.92,46.73,3.66,44.87,-3.98,43.09,-3.97,44.01,2.14,43.28,-1.66,0.08,0.0
NDAQ,2023-01-01,58.38,-2.18,54.12,-7.3,52.94,-2.18,53.79,1.61,53.75,-0.07,48.59,-9.6,49.2,1.26,51.49,4.65,47.67,-7.42,48.9,2.58,54.76,11.98,0.08,0.0
OXY,2023-01-01,62.49,3.14,56.9,-8.95,64.12,12.69,59.47,-7.25,56.27,-5.38,57.67,2.49,61.29,6.28,62.27,1.6,63.76,2.39,60.96,-4.39,57.97,-4.9,0.08,0.0
EW,2023-01-01,79.11,4.08,80.08,1.23,82.31,2.78,87.52,6.33,84.06,-3.95,93.62,11.37,81.5,-12.95,77.18,-5.3,68.86,-10.78,63.5,-7.78,67.46,6.24,0.08,-188.38
COR,2023-01-01,164.45,2.07,152.13,-7.49,157.94,3.82,164.01,3.84,167.81,2.32,188.15,12.12,184.48,-1.95,174.12,-5.62,177.52,1.95,182.63,2.88,201.24,10.19,0.08,0.0
KDP,2023-01-01,33.4,-0.71,32.66,-2.22,33.72,3.25,31.17,-7.56,29.9,-4.07,30.02,0.4,32.8,9.26,32.43,-1.13,30.45,-6.11,29.42,-3.38,30.62,4.08,0.08,0.0
FIS,2023-01-01,70.94,9.02,60.29,-15.01,52.04,-13.68,55.35,6.36,52.38,-5.37,55.91,6.74,58.22,4.13,54.51,-6.37,53.83,-1.25,48.19,-10.48,57.06,18.41,0.08,-309.05
KMB,2023-01-01,119.11,-4.96,114.88,-3.55,124.76,8.6,134.95,8.17,125.51,-7.0,128.38,2.29,121.04,-5.72,120.98,-0.05,113.88,-5.87,113.64,-0.21,117.18,3.12,0.08,0.0
NEM,2023-01-01,49.17,9.27,41.25,-16.11,46.12,11.81,44.94,-2.56,38.82,-13.62,40.73,4.92,40.14,-1.45,37.93,-5.51,35.01,-7.7,36.11,3.14,39.04,8.11,0.08,-233.1
DFS,2023-01-01,107.18,14.31,106.29,-0.83,94.36,-11.22,98.69,4.59,99.2,0.52,112.24,13.15,100.87,-10.13,88.41,-12.35,88.58,0.19,79.81,-9.9,90.49,13.38,0.08,-263.6
PCG,2023-01-01,15.74,-1.19,15.49,-1.59,16.14,4.2,17.15,6.26,16.78,-2.16,17.09,1.85,17.5,2.4,16.37,-6.46,15.99,-2.32,16.29,1.88,17.13,5.16,0.08,0.0
TEL,2023-01-01,123.14,9.49,123.68,0.44,127.19,2.84,119.19,-6.29,119.55,0.3,136.75,14.39,139.79,2.22,131.14,-6.19,120.68,-7.98,117.74,-2.44,128.98,9.55,0.08,0.0
MPC,2023-01-01,122.68,11.42,118.43,-3.46,131.42,10.97,116.3,-11.51,101.67,-12.58,112.97,11.11,127.07,12.48,140.61,10.66,146.39,4.11,147.72,0.91,144.97,-1.86,0.08,-185.79
FAST,2023-01-01,47.15,5.13,48.74,3.37,50.97,4.58,51.7,1.43,51.73,0.06,56.1,8.45,56.2,0.18,55.73,-0.84,52.53,-5.74,56.51,7.58,57.76,2.21,0.08,0.0
AME,2023-01-01,142.77,3.18,139.11,-2.56,142.83,2.67,136.38,-4.52,144.01,5.59,159.16,10.52,156.09,-1.93,158.74,1.7,146.56,-7.67,140.73,-3.98,154.33,9.66,0.08,0.0
PEG,2023-01-01,57.39,0.07,56.5,-1.55,58.37,3.31,59.38,1.73,56.48,-4.88,59.34,5.06,61.06,2.9,58.4,-4.36,54.33,-6.97,58.88,8.37,59.91,1.75,0.08,0.0
PRU,2023-01-01,93.11,3.98,90.63,-2.66,74.99,-17.26,78.39,4.53,73.1,-6.75,81.4,11.35,88.97,9.3,89.2,0.26,87.86,-1.5,85.56,-2.62,92.08,7.62,0.08,-130.23
KVUE,2023-05-01,23.64,-0.88,24.58,3.98,21.97,-10.62,21.86,-0.5,19.07,-12.76,17.51,-8.18,19.34,10.45,20.42,5.58,,,,,,,0.08,-175.57
STZ,2023-01-01,222.75,-0.43,215.26,-3.36,218.68,1.59,221.37,1.23,235.31,6.3,239.2,1.65,264.44,10.55,254.91,-3.6,244.1,-4.24,228.92,-6.22,236.77,3.43,0.07,0.0
GLW,2023-01-01,32.18,7.37,31.89,-0.9,33.02,3.54,31.23,-5.42,29.28,-6.24,33.17,13.29,32.15,-3.08,31.72,-1.34,28.96,-8.7,25.53,-11.84,27.35,7.13,0.07,-86.29
LHX,2023-01-01,204.16,2.85,200.2,-1.94,189.3,-5.44,187.64,-0.88,168.31,-10.3,189.18,12.4,183.56,-2.97,172.36,-6.1,169.17,-1.85,175.65,3.83,187.05,6.49,0.07,-75.06
GRMN,2023-01-01,94.54,6.27,93.52,-1.08,97.24,3.98,94.46,-2.86,99.46,5.29,101.23,1.78,102.35,1.11,103.67,1.29,102.27,-1.35,104.25,1.94,119.26,14.4,0.07,0.0
