Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track
CTVA,2025-01-01,64.15,13.12,63.06,-1.7,11.42,0,0.0,0.07,0.0,M1:13.12% -> M2:11.42%
HES,2025-01-01,138.58,2.89,149.79,8.09,10.98,0,0.0,0.07,0.0,M1:2.89% -> M2:10.98%
CCI,2025-01-01,88.99,-1.96,93.86,5.47,3.51,0,0.0,0.07,0.0,M1:-1.96% -> M2:3.51%
DAL,2025-01-01,64.98,8.08,60.11,-7.49,0.59,0,0.0,0.07,0.0,M1:8.08% -> M2:0.59%
CTSH,2025-01-01,81.68,5.78,83.84,2.64,8.42,0,0.0,0.07,0.0,M1:5.78% -> M2:8.42%
F,2025-01-01,9.41,-1.98,9.71,3.19,1.21,0,0.0,0.07,0.0,M1:-1.98% -> M2:1.21%
VRSK,2025-01-01,287.49,4.17,295.63,2.83,7.0,0,0.0,0.07,0.0,M1:4.17% -> M2:7.0%
EA,2025-01-01,121.58,-17.49,130.38,7.24,7.24,1,-17.49,0.07,-121.98,M1:-17.49% [SELL] -> M2:7.24%
ODFL,2025-01-01,187.83,5.14,178.18,-5.14,0.0,0,0.0,0.07,0.0,M1:5.14% -> M2:0.0%
XEL,2025-01-01,67.09,-0.28,71.89,7.15,6.87,0,0.0,0.07,0.0,M1:-0.28% -> M2:6.87%
TRGP,2025-01-01,195.5,8.91,202.74,3.7,12.61,0,0.0,0.07,0.0,M1:8.91% -> M2:12.61%
A,2025-01-01,149.76,10.76,129.0,-13.86,-3.1,0,0.0,0.07,0.0,M1:10.76% -> M2:-3.1%
IT,2025-01-01,536.56,10.13,498.5,-7.09,3.04,0,0.0,0.07,0.0,M1:10.13% -> M2:3.04%
LVS,2025-01-01,44.22,-13.19,46.42,4.98,4.98,1,-13.19,0.07,-89.9,M1:-13.19% [SELL] -> M2:4.98%
SYY,2025-01-01,72.32,-5.28,75.7,4.67,-0.61,0,0.0,0.07,0.0,M1:-5.28% -> M2:-0.61%
VLO,2025-01-01,133.73,9.35,131.76,-1.47,7.88,0,0.0,0.07,0.0,M1:9.35% -> M2:7.88%
OTIS,2025-01-01,93.62,0.65,100.2,7.03,7.68,0,0.0,0.07,0.0,M1:0.65% -> M2:7.68%
LEN,2025-01-01,128.6,-3.38,119.69,-6.93,0.0,1,-10.31,0.07,-69.2,M1:-3.38% -> M2:-10.31% [SELL]
EXC,2025-01-01,39.49,5.14,44.05,11.55,16.69,0,0.0,0.07,0.0,M1:5.14% -> M2:16.69%
