Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track
PYPL,2025-01-01,86.5,0.78,71.1,-17.8,0.0,1,-17.02,0.16,-267.48,M1:0.78% -> M2:-17.02% [SELL]
SHW,2025-01-01,351.66,3.59,364.27,3.59,7.18,0,0.0,0.16,0.0,M1:3.59% -> M2:7.18%
ICE,2025-01-01,158.84,5.87,172.91,8.86,14.73,0,0.0,0.16,0.0,M1:5.87% -> M2:14.73%
CME,2025-01-01,238.62,3.14,253.9,6.4,9.54,0,0.0,0.15,0.0,M1:3.14% -> M2:9.54%
AMT,2025-01-01,184.82,0.4,205.0,10.92,11.32,0,0.0,0.15,0.0,M1:0.4% -> M2:11.32%
APH,2025-01-01,69.03,-1.6,66.65,-3.45,-5.05,0,0.0,0.15,0.0,M1:-1.6% -> M2:-5.05%
ELV,2025-01-01,396.05,6.36,400.0,1.0,7.36,0,0.0,0.15,0.0,M1:6.36% -> M2:7.36%
TT,2025-01-01,355.57,-4.17,356.38,0.23,-3.94,0,0.0,0.15,0.0,M1:-4.17% -> M2:-3.94%
MCO,2025-01-01,491.32,3.66,505.0,2.78,6.44,0,0.0,0.15,0.0,M1:3.66% -> M2:6.44%
CMG,2025-01-01,56.36,-7.29,55.02,-2.38,-9.67,0,0.0,0.15,0.0,M1:-7.29% -> M2:-9.67%
INTC,2025-01-01,18.97,-6.23,25.0,31.79,25.56,0,0.0,0.15,0.0,M1:-6.23% -> M2:25.56%
KLAC,2025-01-01,725.75,14.61,714.53,-1.55,13.06,0,0.0,0.15,0.0,M1:14.61% -> M2:13.06%
ABNB,2025-01-01,129.19,-2.03,140.34,8.63,6.6,0,0.0,0.15,0.0,M1:-2.03% -> M2:6.6%
DUK,2025-01-01,110.95,3.22,117.32,5.74,8.96,0,0.0,0.15,0.0,M1:3.22% -> M2:8.96%
PH,2025-01-01,687.03,7.59,674.35,-1.85,5.74,0,0.0,0.15,0.0,M1:7.59% -> M2:5.74%
CDNS,2025-01-01,292.32,-4.11,253.01,-13.45,0.0,1,-17.56,0.15,-261.21,M1:-4.11% -> M2:-17.56% [SELL]
WM,2025-01-01,218.91,7.91,233.59,6.71,14.62,0,0.0,0.15,0.0,M1:7.91% -> M2:14.62%
DELL,2025-01-01,99.38,-13.43,103.64,4.29,4.29,1,-13.43,0.15,-195.94,M1:-13.43% [SELL] -> M2:4.29%
MDLZ,2025-01-01,57.99,-3.35,64.04,10.43,7.08,0,0.0,0.14,0.0,M1:-3.35% -> M2:7.08%
MAR,2025-01-01,286.15,2.0,280.0,-2.15,-0.15,0,0.0,0.14,0.0,M1:2.0% -> M2:-0.15%
MSI,2025-01-01,465.47,0.13,438.97,-5.69,-5.56,0,0.0,0.14,0.0,M1:0.13% -> M2:-5.56%
WELL,2025-01-01,135.4,8.25,153.49,13.36,21.61,0,0.0,0.14,0.0,M1:8.25% -> M2:21.61%
